iter	Passed	Remaining
0	1	1480
1	3	1520
2	4	1548
3	6	1545
4	7	1537
5	10	1665
6	12	1762
7	14	1777
8	17	1911
9	19	1883
10	20	1846
11	22	1817
12	23	1796
13	25	1803
14	28	1847
15	29	1836
16	32	1905
17	34	1888
18	36	1868
19	37	1849
20	39	1829
21	40	1819
22	44	1882
23	46	1870
24	47	1838
25	50	1874
26	51	1862
27	53	1849
28	54	1836
29	57	1848
30	59	1859
31	61	1857
32	64	1882
33	66	1877
34	67	1866
35	69	1857
36	71	1848
37	73	1864
38	75	1870
39	78	1877
40	79	1870
41	82	1886
42	84	1878
43	85	1867
44	87	1860
45	90	1871
46	92	1881
47	94	1882
48	98	1903
49	99	1895
50	101	1886
51	102	1876
52	104	1875
53	106	1874
54	109	1874
55	110	1869
56	113	1885
57	115	1877
58	117	1868
59	118	1861
60	120	1854
61	123	1862
62	125	1864
63	127	1861
64	130	1878
65	132	1872
66	133	1865
67	135	1857
68	137	1856
69	140	1865
70	142	1868
71	145	1880
72	148	1880
73	149	1875
74	151	1867
75	153	1861
76	155	1864
77	157	1867
78	160	1867
79	163	1875
80	164	1871
81	166	1864
82	168	1860
83	169	1850
84	172	1853
85	173	1841
86	175	1838
87	177	1842
88	179	1837
89	181	1830
90	182	1823
91	184	1818
92	186	1819
93	188	1820
94	190	1816
95	193	1825
96	195	1821
97	197	1815
98	198	1810
99	200	1805
100	202	1806
101	205	1808
102	207	1805
103	210	1809
104	211	1806
105	213	1800
106	215	1795
107	216	1789
108	219	1791
109	221	1794
110	223	1792
111	226	1795
112	228	1790
113	229	1784
114	231	1779
115	232	1774
116	235	1779
117	238	1781
118	241	1785
119	243	1782
120	244	1778
121	246	1773
122	247	1767
123	249	1765
124	251	1763
125	254	1762
126	255	1759
127	258	1762
128	260	1758
129	261	1753
130	263	1748
131	266	1751
132	268	1749
133	270	1746
134	272	1748
135	275	1747
136	276	1742
137	278	1738
138	279	1733
139	283	1740
140	285	1740
141	287	1739
142	290	1742
143	292	1738
144	294	1734
145	295	1730
146	298	1732
147	300	1732
148	302	1729
149	305	1732
150	307	1730
151	309	1725
152	310	1721
153	312	1718
154	315	1718
155	317	1718
156	319	1715
157	322	1719
158	324	1715
159	325	1711
160	327	1707
161	329	1706
162	332	1707
163	333	1701
164	335	1698
165	338	1701
166	340	1697
167	342	1693
168	343	1689
169	345	1688
170	348	1690
171	350	1687
172	353	1691
173	355	1687
174	357	1683
175	358	1678
176	360	1674
177	362	1672
178	365	1674
179	367	1671
